14/06/15 02:21:14 INFO terasort.TeraSort: starting
14/06/15 02:21:15 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/15 02:21:20 WARN snappy.LoadSnappy: Snappy native library is available
14/06/15 02:21:20 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/15 02:21:20 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/15 02:21:27 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/15 02:21:27 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/15 02:21:29 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/15 02:21:37 INFO mapred.JobClient: Running job: job_201406131535_0026
14/06/15 02:21:38 INFO mapred.JobClient:  map 0% reduce 0%
14/06/15 02:22:09 INFO mapred.JobClient:  map 1% reduce 0%
14/06/15 02:22:28 INFO mapred.JobClient:  map 2% reduce 0%
14/06/15 02:22:49 INFO mapred.JobClient:  map 3% reduce 0%
14/06/15 02:23:05 INFO mapred.JobClient:  map 4% reduce 0%
14/06/15 02:23:23 INFO mapred.JobClient:  map 5% reduce 0%
14/06/15 02:23:44 INFO mapred.JobClient:  map 6% reduce 0%
14/06/15 02:24:08 INFO mapred.JobClient:  map 7% reduce 0%
14/06/15 02:24:38 INFO mapred.JobClient:  map 8% reduce 0%
14/06/15 02:25:01 INFO mapred.JobClient: Task Id : attempt_201406131535_0026_r_000016_0, Status : FAILED
java.lang.Throwable: Child Error
	at org.apache.hadoop.mapred.TaskRunner.run(TaskRunner.java:271)
Caused by: java.io.IOException: Task process exit with nonzero status of 137.
	at org.apache.hadoop.mapred.TaskRunner.run(TaskRunner.java:258)

14/06/15 02:25:16 INFO mapred.JobClient:  map 9% reduce 0%
14/06/15 02:25:43 INFO mapred.JobClient:  map 10% reduce 0%
14/06/15 02:25:54 INFO mapred.JobClient:  map 10% reduce 1%
14/06/15 02:26:22 INFO mapred.JobClient:  map 11% reduce 1%
14/06/15 02:26:49 INFO mapred.JobClient:  map 12% reduce 1%
14/06/15 02:27:16 INFO mapred.JobClient:  map 13% reduce 1%
14/06/15 02:27:40 INFO mapred.JobClient:  map 14% reduce 1%
14/06/15 02:28:02 INFO mapred.JobClient:  map 15% reduce 1%
14/06/15 02:28:23 INFO mapred.JobClient:  map 16% reduce 1%
14/06/15 02:28:26 INFO mapred.JobClient:  map 16% reduce 2%
14/06/15 02:28:49 INFO mapred.JobClient:  map 17% reduce 2%
14/06/15 02:29:11 INFO mapred.JobClient:  map 18% reduce 2%
14/06/15 02:29:32 INFO mapred.JobClient:  map 19% reduce 2%
14/06/15 02:29:57 INFO mapred.JobClient:  map 20% reduce 2%
14/06/15 02:30:18 INFO mapred.JobClient:  map 21% reduce 2%
14/06/15 02:30:44 INFO mapred.JobClient:  map 22% reduce 2%
14/06/15 02:31:07 INFO mapred.JobClient:  map 23% reduce 2%
14/06/15 02:31:12 INFO mapred.JobClient:  map 23% reduce 3%
14/06/15 02:31:29 INFO mapred.JobClient:  map 24% reduce 3%
14/06/15 02:31:50 INFO mapred.JobClient:  map 25% reduce 3%
14/06/15 02:32:12 INFO mapred.JobClient:  map 26% reduce 3%
14/06/15 02:32:36 INFO mapred.JobClient:  map 27% reduce 3%
14/06/15 02:32:56 INFO mapred.JobClient:  map 28% reduce 3%
14/06/15 02:33:18 INFO mapred.JobClient:  map 29% reduce 3%
14/06/15 02:33:40 INFO mapred.JobClient:  map 30% reduce 3%
14/06/15 02:34:01 INFO mapred.JobClient:  map 31% reduce 4%
14/06/15 02:34:24 INFO mapred.JobClient:  map 32% reduce 4%
14/06/15 02:34:47 INFO mapred.JobClient:  map 33% reduce 4%
14/06/15 02:35:09 INFO mapred.JobClient:  map 34% reduce 4%
14/06/15 02:35:30 INFO mapred.JobClient:  map 35% reduce 4%
14/06/15 02:35:51 INFO mapred.JobClient:  map 36% reduce 4%
14/06/15 02:36:15 INFO mapred.JobClient:  map 37% reduce 4%
14/06/15 02:36:39 INFO mapred.JobClient:  map 38% reduce 4%
14/06/15 02:36:43 INFO mapred.JobClient:  map 38% reduce 5%
14/06/15 02:37:01 INFO mapred.JobClient:  map 39% reduce 5%
14/06/15 02:37:22 INFO mapred.JobClient:  map 40% reduce 5%
14/06/15 02:37:46 INFO mapred.JobClient:  map 41% reduce 5%
14/06/15 02:38:08 INFO mapred.JobClient:  map 42% reduce 5%
14/06/15 02:38:29 INFO mapred.JobClient:  map 43% reduce 5%
14/06/15 02:38:59 INFO mapred.JobClient:  map 44% reduce 5%
14/06/15 02:39:32 INFO mapred.JobClient:  map 45% reduce 5%
14/06/15 02:40:11 INFO mapred.JobClient:  map 45% reduce 6%
14/06/15 02:40:18 INFO mapred.JobClient:  map 46% reduce 6%
14/06/15 02:41:05 INFO mapred.JobClient:  map 47% reduce 6%
14/06/15 02:41:36 INFO mapred.JobClient:  map 48% reduce 6%
14/06/15 02:42:10 INFO mapred.JobClient:  map 49% reduce 6%
14/06/15 02:42:38 INFO mapred.JobClient:  map 50% reduce 6%
14/06/15 02:43:08 INFO mapred.JobClient:  map 51% reduce 6%
14/06/15 02:43:39 INFO mapred.JobClient:  map 52% reduce 6%
14/06/15 02:44:08 INFO mapred.JobClient:  map 53% reduce 6%
14/06/15 02:44:19 INFO mapred.JobClient:  map 53% reduce 7%
14/06/15 02:44:38 INFO mapred.JobClient:  map 54% reduce 7%
14/06/15 02:45:01 INFO mapred.JobClient:  map 55% reduce 7%
14/06/15 02:45:29 INFO mapred.JobClient:  map 56% reduce 7%
14/06/15 02:45:54 INFO mapred.JobClient:  map 57% reduce 7%
14/06/15 02:46:18 INFO mapred.JobClient:  map 58% reduce 7%
14/06/15 02:46:39 INFO mapred.JobClient:  map 59% reduce 7%
14/06/15 02:47:03 INFO mapred.JobClient:  map 60% reduce 7%
14/06/15 02:47:25 INFO mapred.JobClient:  map 60% reduce 8%
14/06/15 02:47:27 INFO mapred.JobClient:  map 61% reduce 8%
14/06/15 02:47:49 INFO mapred.JobClient:  map 62% reduce 8%
14/06/15 02:48:10 INFO mapred.JobClient:  map 63% reduce 8%
14/06/15 02:48:39 INFO mapred.JobClient:  map 64% reduce 8%
14/06/15 02:49:06 INFO mapred.JobClient:  map 65% reduce 8%
14/06/15 02:49:42 INFO mapred.JobClient:  map 66% reduce 8%
14/06/15 02:50:24 INFO mapred.JobClient:  map 67% reduce 8%
14/06/15 02:51:05 INFO mapred.JobClient:  map 68% reduce 8%
14/06/15 02:51:18 INFO mapred.JobClient:  map 68% reduce 9%
14/06/15 02:51:39 INFO mapred.JobClient:  map 69% reduce 9%
14/06/15 02:52:12 INFO mapred.JobClient:  map 70% reduce 9%
14/06/15 02:52:39 INFO mapred.JobClient:  map 71% reduce 9%
14/06/15 02:53:09 INFO mapred.JobClient:  map 72% reduce 9%
14/06/15 02:53:35 INFO mapred.JobClient:  map 73% reduce 9%
14/06/15 02:54:03 INFO mapred.JobClient:  map 74% reduce 9%
14/06/15 02:54:29 INFO mapred.JobClient:  map 75% reduce 9%
14/06/15 02:54:54 INFO mapred.JobClient:  map 76% reduce 10%
14/06/15 02:55:20 INFO mapred.JobClient:  map 77% reduce 10%
14/06/15 02:55:43 INFO mapred.JobClient:  map 78% reduce 10%
14/06/15 02:56:09 INFO mapred.JobClient:  map 79% reduce 10%
14/06/15 02:56:33 INFO mapred.JobClient:  map 80% reduce 10%
14/06/15 02:56:58 INFO mapred.JobClient:  map 81% reduce 10%
14/06/15 02:57:22 INFO mapred.JobClient:  map 82% reduce 10%
14/06/15 02:57:46 INFO mapred.JobClient:  map 83% reduce 10%
14/06/15 02:57:56 INFO mapred.JobClient:  map 83% reduce 11%
14/06/15 02:58:11 INFO mapred.JobClient:  map 84% reduce 11%
14/06/15 02:58:44 INFO mapred.JobClient:  map 85% reduce 11%
14/06/15 02:59:18 INFO mapred.JobClient:  map 86% reduce 11%
14/06/15 02:59:50 INFO mapred.JobClient:  map 87% reduce 11%
14/06/15 03:00:28 INFO mapred.JobClient:  map 88% reduce 11%
14/06/15 03:01:06 INFO mapred.JobClient:  map 89% reduce 11%
14/06/15 03:01:44 INFO mapred.JobClient:  map 90% reduce 11%
14/06/15 03:02:11 INFO mapred.JobClient:  map 90% reduce 12%
14/06/15 03:02:16 INFO mapred.JobClient:  map 91% reduce 12%
14/06/15 03:02:43 INFO mapred.JobClient:  map 92% reduce 12%
14/06/15 03:03:11 INFO mapred.JobClient:  map 93% reduce 12%
14/06/15 03:03:41 INFO mapred.JobClient:  map 94% reduce 12%
14/06/15 03:04:10 INFO mapred.JobClient:  map 95% reduce 12%
14/06/15 03:04:33 INFO mapred.JobClient:  map 96% reduce 12%
14/06/15 03:04:54 INFO mapred.JobClient:  map 97% reduce 12%
14/06/15 03:05:20 INFO mapred.JobClient:  map 98% reduce 12%
14/06/15 03:05:27 INFO mapred.JobClient:  map 98% reduce 13%
14/06/15 03:05:44 INFO mapred.JobClient:  map 99% reduce 13%
14/06/15 03:08:25 INFO mapred.JobClient:  map 100% reduce 13%
14/06/15 03:08:51 INFO mapred.JobClient:  map 100% reduce 14%
14/06/15 03:09:05 INFO mapred.JobClient:  map 100% reduce 15%
14/06/15 03:09:14 INFO mapred.JobClient:  map 100% reduce 16%
14/06/15 03:09:23 INFO mapred.JobClient:  map 100% reduce 17%
14/06/15 03:09:34 INFO mapred.JobClient:  map 100% reduce 18%
14/06/15 03:09:41 INFO mapred.JobClient:  map 100% reduce 19%
14/06/15 03:09:48 INFO mapred.JobClient:  map 100% reduce 20%
14/06/15 03:09:55 INFO mapred.JobClient:  map 100% reduce 21%
14/06/15 03:09:58 INFO mapred.JobClient:  map 100% reduce 22%
14/06/15 03:10:02 INFO mapred.JobClient:  map 100% reduce 23%
14/06/15 03:10:09 INFO mapred.JobClient:  map 100% reduce 24%
14/06/15 03:10:18 INFO mapred.JobClient:  map 100% reduce 25%
14/06/15 03:10:27 INFO mapred.JobClient:  map 100% reduce 26%
14/06/15 03:10:39 INFO mapred.JobClient:  map 100% reduce 27%
14/06/15 03:10:41 INFO mapred.JobClient:  map 100% reduce 28%
14/06/15 03:10:56 INFO mapred.JobClient:  map 100% reduce 29%
14/06/15 03:11:08 INFO mapred.JobClient:  map 100% reduce 30%
14/06/15 03:11:42 INFO mapred.JobClient:  map 100% reduce 31%
14/06/15 03:12:16 INFO mapred.JobClient:  map 100% reduce 32%
14/06/15 03:12:57 INFO mapred.JobClient:  map 100% reduce 33%
14/06/15 03:13:43 INFO mapred.JobClient:  map 100% reduce 34%
14/06/15 03:14:34 INFO mapred.JobClient:  map 100% reduce 35%
14/06/15 03:15:25 INFO mapred.JobClient:  map 100% reduce 36%
14/06/15 03:16:26 INFO mapred.JobClient:  map 100% reduce 37%
14/06/15 03:17:32 INFO mapred.JobClient:  map 100% reduce 38%
14/06/15 03:18:52 INFO mapred.JobClient:  map 100% reduce 39%
14/06/15 03:20:10 INFO mapred.JobClient:  map 100% reduce 40%
14/06/15 03:21:23 INFO mapred.JobClient:  map 100% reduce 41%
14/06/15 03:22:39 INFO mapred.JobClient:  map 100% reduce 42%
14/06/15 03:23:51 INFO mapred.JobClient:  map 100% reduce 43%
