Generating 2000000000 using 100 maps with step of 20000000
14/06/14 18:24:34 INFO mapred.JobClient: Running job: job_201406131535_0021
14/06/14 18:24:35 INFO mapred.JobClient:  map 0% reduce 0%
14/06/14 18:25:00 INFO mapred.JobClient:  map 1% reduce 0%
14/06/14 18:25:34 INFO mapred.JobClient:  map 2% reduce 0%
14/06/14 18:26:10 INFO mapred.JobClient:  map 3% reduce 0%
14/06/14 18:26:37 INFO mapred.JobClient:  map 4% reduce 0%
14/06/14 18:27:03 INFO mapred.JobClient:  map 5% reduce 0%
14/06/14 18:27:37 INFO mapred.JobClient:  map 6% reduce 0%
14/06/14 18:28:02 INFO mapred.JobClient:  map 7% reduce 0%
14/06/14 18:28:35 INFO mapred.JobClient:  map 8% reduce 0%
14/06/14 18:29:06 INFO mapred.JobClient:  map 9% reduce 0%
14/06/14 18:29:33 INFO mapred.JobClient:  map 10% reduce 0%
14/06/14 18:30:03 INFO mapred.JobClient:  map 11% reduce 0%
14/06/14 18:30:37 INFO mapred.JobClient:  map 12% reduce 0%
14/06/14 18:31:03 INFO mapred.JobClient:  map 13% reduce 0%
14/06/14 18:31:37 INFO mapred.JobClient:  map 14% reduce 0%
14/06/14 18:32:10 INFO mapred.JobClient:  map 15% reduce 0%
14/06/14 18:32:41 INFO mapred.JobClient:  map 16% reduce 0%
14/06/14 18:33:19 INFO mapred.JobClient:  map 17% reduce 0%
14/06/14 18:33:53 INFO mapred.JobClient:  map 18% reduce 0%
14/06/14 18:34:24 INFO mapred.JobClient:  map 19% reduce 0%
14/06/14 18:34:56 INFO mapred.JobClient:  map 20% reduce 0%
14/06/14 18:35:32 INFO mapred.JobClient:  map 21% reduce 0%
14/06/14 18:36:07 INFO mapred.JobClient:  map 22% reduce 0%
14/06/14 18:36:40 INFO mapred.JobClient:  map 23% reduce 0%
14/06/14 18:37:06 INFO mapred.JobClient:  map 24% reduce 0%
14/06/14 18:37:41 INFO mapred.JobClient:  map 25% reduce 0%
14/06/14 18:38:21 INFO mapred.JobClient:  map 26% reduce 0%
14/06/14 18:38:51 INFO mapred.JobClient:  map 27% reduce 0%
14/06/14 18:39:20 INFO mapred.JobClient:  map 28% reduce 0%
14/06/14 18:39:49 INFO mapred.JobClient:  map 29% reduce 0%
14/06/14 18:40:18 INFO mapred.JobClient:  map 30% reduce 0%
14/06/14 18:40:49 INFO mapred.JobClient:  map 31% reduce 0%
14/06/14 18:41:27 INFO mapred.JobClient:  map 32% reduce 0%
14/06/14 18:42:04 INFO mapred.JobClient:  map 33% reduce 0%
14/06/14 18:42:33 INFO mapred.JobClient:  map 34% reduce 0%
14/06/14 18:43:06 INFO mapred.JobClient:  map 35% reduce 0%
14/06/14 18:43:36 INFO mapred.JobClient:  map 36% reduce 0%
14/06/14 18:44:12 INFO mapred.JobClient:  map 37% reduce 0%
14/06/14 18:44:43 INFO mapred.JobClient:  map 38% reduce 0%
14/06/14 18:45:13 INFO mapred.JobClient:  map 39% reduce 0%
14/06/14 18:45:46 INFO mapred.JobClient:  map 40% reduce 0%
