Generating 2000000000 using 100 maps with step of 20000000
14/06/13 00:19:10 INFO mapred.JobClient: Running job: job_201406122141_0005
14/06/13 00:19:11 INFO mapred.JobClient:  map 0% reduce 0%
14/06/13 00:19:38 INFO mapred.JobClient:  map 1% reduce 0%
14/06/13 00:20:18 INFO mapred.JobClient:  map 2% reduce 0%
14/06/13 00:20:57 INFO mapred.JobClient:  map 3% reduce 0%
14/06/13 00:21:30 INFO mapred.JobClient:  map 4% reduce 0%
14/06/13 00:21:52 INFO mapred.JobClient:  map 5% reduce 0%
14/06/13 00:22:20 INFO mapred.JobClient:  map 6% reduce 0%
14/06/13 00:22:52 INFO mapred.JobClient:  map 7% reduce 0%
14/06/13 00:23:21 INFO mapred.JobClient:  map 8% reduce 0%
14/06/13 00:23:49 INFO mapred.JobClient:  map 9% reduce 0%
14/06/13 00:24:21 INFO mapred.JobClient:  map 10% reduce 0%
14/06/13 00:24:56 INFO mapred.JobClient:  map 11% reduce 0%
14/06/13 00:25:34 INFO mapred.JobClient:  map 12% reduce 0%
14/06/13 00:26:03 INFO mapred.JobClient:  map 13% reduce 0%
14/06/13 00:26:37 INFO mapred.JobClient:  map 14% reduce 0%
14/06/13 00:27:10 INFO mapred.JobClient:  map 15% reduce 0%
14/06/13 00:27:35 INFO mapred.JobClient:  map 16% reduce 0%
14/06/13 00:28:03 INFO mapred.JobClient:  map 17% reduce 0%
14/06/13 00:28:36 INFO mapred.JobClient:  map 18% reduce 0%
14/06/13 00:29:15 INFO mapred.JobClient:  map 19% reduce 0%
14/06/13 00:29:49 INFO mapred.JobClient:  map 20% reduce 0%
14/06/13 00:30:29 INFO mapred.JobClient:  map 21% reduce 0%
14/06/13 00:30:57 INFO mapred.JobClient:  map 22% reduce 0%
14/06/13 00:31:36 INFO mapred.JobClient:  map 23% reduce 0%
14/06/13 00:32:14 INFO mapred.JobClient:  map 24% reduce 0%
14/06/13 00:32:55 INFO mapred.JobClient:  map 25% reduce 0%
14/06/13 00:33:30 INFO mapred.JobClient:  map 26% reduce 0%
14/06/13 00:33:54 INFO mapred.JobClient:  map 27% reduce 0%
14/06/13 00:34:24 INFO mapred.JobClient:  map 28% reduce 0%
14/06/13 00:34:52 INFO mapred.JobClient:  map 29% reduce 0%
14/06/13 00:35:24 INFO mapred.JobClient:  map 30% reduce 0%
14/06/13 00:35:53 INFO mapred.JobClient:  map 31% reduce 0%
14/06/13 00:36:21 INFO mapred.JobClient:  map 32% reduce 0%
14/06/13 00:36:52 INFO mapred.JobClient:  map 33% reduce 0%
14/06/13 00:37:23 INFO mapred.JobClient:  map 34% reduce 0%
14/06/13 00:37:45 INFO mapred.JobClient:  map 35% reduce 0%
14/06/13 00:38:19 INFO mapred.JobClient:  map 36% reduce 0%
14/06/13 00:38:55 INFO mapred.JobClient:  map 37% reduce 0%
14/06/13 00:39:27 INFO mapred.JobClient:  map 38% reduce 0%
14/06/13 00:39:55 INFO mapred.JobClient:  map 39% reduce 0%
14/06/13 00:40:29 INFO mapred.JobClient:  map 40% reduce 0%
14/06/13 00:41:07 INFO mapred.JobClient:  map 41% reduce 0%
14/06/13 00:41:34 INFO mapred.JobClient:  map 42% reduce 0%
14/06/13 00:42:03 INFO mapred.JobClient:  map 43% reduce 0%
14/06/13 00:42:38 INFO mapred.JobClient:  map 44% reduce 0%
14/06/13 00:43:13 INFO mapred.JobClient:  map 45% reduce 0%
14/06/13 00:43:52 INFO mapred.JobClient:  map 46% reduce 0%
14/06/13 00:44:31 INFO mapred.JobClient:  map 47% reduce 0%
14/06/13 00:45:01 INFO mapred.JobClient:  map 48% reduce 0%
14/06/13 00:45:36 INFO mapred.JobClient:  map 49% reduce 0%
14/06/13 00:46:08 INFO mapred.JobClient:  map 50% reduce 0%
14/06/13 00:46:46 INFO mapred.JobClient:  map 51% reduce 0%
14/06/13 00:47:21 INFO mapred.JobClient:  map 52% reduce 0%
14/06/13 00:47:58 INFO mapred.JobClient:  map 53% reduce 0%
14/06/13 00:48:26 INFO mapred.JobClient:  map 54% reduce 0%
14/06/13 00:48:53 INFO mapred.JobClient:  map 55% reduce 0%
14/06/13 00:49:22 INFO mapred.JobClient:  map 56% reduce 0%
14/06/13 00:49:59 INFO mapred.JobClient:  map 57% reduce 0%
14/06/13 00:50:28 INFO mapred.JobClient:  map 58% reduce 0%
14/06/13 00:51:11 INFO mapred.JobClient:  map 59% reduce 0%
14/06/13 00:51:48 INFO mapred.JobClient:  map 60% reduce 0%
14/06/13 00:52:24 INFO mapred.JobClient:  map 61% reduce 0%
14/06/13 00:52:50 INFO mapred.JobClient:  map 62% reduce 0%
14/06/13 00:53:27 INFO mapred.JobClient:  map 63% reduce 0%
14/06/13 00:53:54 INFO mapred.JobClient:  map 64% reduce 0%
14/06/13 00:54:22 INFO mapred.JobClient:  map 65% reduce 0%
14/06/13 00:54:54 INFO mapred.JobClient:  map 66% reduce 0%
14/06/13 00:55:28 INFO mapred.JobClient:  map 67% reduce 0%
14/06/13 00:56:03 INFO mapred.JobClient:  map 68% reduce 0%
14/06/13 00:56:29 INFO mapred.JobClient:  map 69% reduce 0%
14/06/13 00:56:59 INFO mapred.JobClient:  map 70% reduce 0%
14/06/13 00:57:32 INFO mapred.JobClient:  map 71% reduce 0%
14/06/13 00:58:07 INFO mapred.JobClient:  map 72% reduce 0%
14/06/13 00:58:41 INFO mapred.JobClient:  map 73% reduce 0%
14/06/13 00:59:12 INFO mapred.JobClient:  map 74% reduce 0%
14/06/13 00:59:42 INFO mapred.JobClient:  map 75% reduce 0%
14/06/13 01:00:11 INFO mapred.JobClient:  map 76% reduce 0%
14/06/13 01:00:43 INFO mapred.JobClient:  map 77% reduce 0%
14/06/13 01:01:16 INFO mapred.JobClient:  map 78% reduce 0%
14/06/13 01:01:47 INFO mapred.JobClient:  map 79% reduce 0%
14/06/13 01:02:26 INFO mapred.JobClient:  map 80% reduce 0%
14/06/13 01:03:03 INFO mapred.JobClient:  map 81% reduce 0%
14/06/13 01:03:41 INFO mapred.JobClient:  map 82% reduce 0%
14/06/13 01:04:17 INFO mapred.JobClient:  map 83% reduce 0%
14/06/13 01:04:57 INFO mapred.JobClient:  map 84% reduce 0%
14/06/13 01:05:39 INFO mapred.JobClient:  map 85% reduce 0%
14/06/13 01:06:18 INFO mapred.JobClient:  map 86% reduce 0%
14/06/13 01:06:55 INFO mapred.JobClient:  map 87% reduce 0%
14/06/13 01:07:30 INFO mapred.JobClient:  map 88% reduce 0%
14/06/13 01:08:19 INFO mapred.JobClient:  map 89% reduce 0%
14/06/13 01:09:21 INFO mapred.JobClient:  map 90% reduce 0%
14/06/13 01:10:12 INFO mapred.JobClient:  map 91% reduce 0%
14/06/13 01:11:18 INFO mapred.JobClient:  map 92% reduce 0%
14/06/13 01:12:18 INFO mapred.JobClient:  map 93% reduce 0%
14/06/13 01:13:24 INFO mapred.JobClient:  map 94% reduce 0%
14/06/13 01:14:31 INFO mapred.JobClient:  map 95% reduce 0%
14/06/13 01:15:41 INFO mapred.JobClient:  map 96% reduce 0%
14/06/13 01:16:49 INFO mapred.JobClient:  map 97% reduce 0%
14/06/13 01:18:11 INFO mapred.JobClient:  map 98% reduce 0%
14/06/13 01:20:06 INFO mapred.JobClient:  map 99% reduce 0%
14/06/13 01:24:05 INFO mapred.JobClient:  map 100% reduce 0%
14/06/13 01:24:09 INFO mapred.JobClient: Job complete: job_201406122141_0005
14/06/13 01:24:09 INFO mapred.JobClient: Counters: 19
14/06/13 01:24:09 INFO mapred.JobClient:   Job Counters 
14/06/13 01:24:09 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=129587848
14/06/13 01:24:09 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/06/13 01:24:09 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/06/13 01:24:09 INFO mapred.JobClient:     Launched map tasks=121
14/06/13 01:24:09 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=0
14/06/13 01:24:09 INFO mapred.JobClient:   File Input Format Counters 
14/06/13 01:24:09 INFO mapred.JobClient:     Bytes Read=0
14/06/13 01:24:09 INFO mapred.JobClient:   File Output Format Counters 
14/06/13 01:24:09 INFO mapred.JobClient:     Bytes Written=200000000000
14/06/13 01:24:09 INFO mapred.JobClient:   FileSystemCounters
14/06/13 01:24:09 INFO mapred.JobClient:     HDFS_BYTES_READ=8696
14/06/13 01:24:09 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=5583390
14/06/13 01:24:09 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=200000000000
14/06/13 01:24:09 INFO mapred.JobClient:   Map-Reduce Framework
14/06/13 01:24:09 INFO mapred.JobClient:     Map input records=2000000000
14/06/13 01:24:09 INFO mapred.JobClient:     Physical memory (bytes) snapshot=8429195264
14/06/13 01:24:09 INFO mapred.JobClient:     Spilled Records=0
14/06/13 01:24:09 INFO mapred.JobClient:     CPU time spent (ms)=3388600
14/06/13 01:24:09 INFO mapred.JobClient:     Total committed heap usage (bytes)=2467917824
14/06/13 01:24:09 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=72659615744
14/06/13 01:24:09 INFO mapred.JobClient:     Map input bytes=2000000000
14/06/13 01:24:09 INFO mapred.JobClient:     Map output records=2000000000
14/06/13 01:24:09 INFO mapred.JobClient:     SPLIT_RAW_BYTES=8696

real	65m5.004s
user	0m8.009s
sys	0m1.590s
