Generating 100000000 using 20 maps with step of 5000000
14/06/12 21:27:01 INFO mapred.JobClient: Running job: job_201406111226_0017
14/06/12 21:27:02 INFO mapred.JobClient:  map 0% reduce 0%
14/06/12 21:27:17 INFO mapred.JobClient:  map 7% reduce 0%
14/06/12 21:27:18 INFO mapred.JobClient:  map 8% reduce 0%
14/06/12 21:27:20 INFO mapred.JobClient:  map 9% reduce 0%
14/06/12 21:27:21 INFO mapred.JobClient:  map 10% reduce 0%
14/06/12 21:27:24 INFO mapred.JobClient:  map 11% reduce 0%
14/06/12 21:27:27 INFO mapred.JobClient:  map 12% reduce 0%
14/06/12 21:27:29 INFO mapred.JobClient:  map 13% reduce 0%
14/06/12 21:27:32 INFO mapred.JobClient:  map 14% reduce 0%
14/06/12 21:27:35 INFO mapred.JobClient:  map 15% reduce 0%
14/06/12 21:27:38 INFO mapred.JobClient:  map 16% reduce 0%
14/06/12 21:27:41 INFO mapred.JobClient:  map 17% reduce 0%
14/06/12 21:27:43 INFO mapred.JobClient:  map 18% reduce 0%
14/06/12 21:27:47 INFO mapred.JobClient:  map 19% reduce 0%
14/06/12 21:27:50 INFO mapred.JobClient:  map 20% reduce 0%
14/06/12 21:27:53 INFO mapred.JobClient:  map 21% reduce 0%
14/06/12 21:27:56 INFO mapred.JobClient:  map 22% reduce 0%
14/06/12 21:27:59 INFO mapred.JobClient:  map 23% reduce 0%
14/06/12 21:28:00 INFO mapred.JobClient:  map 24% reduce 0%
14/06/12 21:28:03 INFO mapred.JobClient:  map 25% reduce 0%
14/06/12 21:28:06 INFO mapred.JobClient:  map 26% reduce 0%
14/06/12 21:28:09 INFO mapred.JobClient:  map 27% reduce 0%
14/06/12 21:28:11 INFO mapred.JobClient:  map 28% reduce 0%
14/06/12 21:28:14 INFO mapred.JobClient:  map 29% reduce 0%
14/06/12 21:28:17 INFO mapred.JobClient:  map 30% reduce 0%
14/06/12 21:28:18 INFO mapred.JobClient:  map 31% reduce 0%
14/06/12 21:28:21 INFO mapred.JobClient:  map 33% reduce 0%
14/06/12 21:28:23 INFO mapred.JobClient:  map 34% reduce 0%
14/06/12 21:28:24 INFO mapred.JobClient:  map 35% reduce 0%
14/06/12 21:28:25 INFO mapred.JobClient:  map 36% reduce 0%
14/06/12 21:28:27 INFO mapred.JobClient:  map 37% reduce 0%
14/06/12 21:28:31 INFO mapred.JobClient:  map 38% reduce 0%
14/06/12 21:28:33 INFO mapred.JobClient:  map 39% reduce 0%
14/06/12 21:28:36 INFO mapred.JobClient:  map 40% reduce 0%
14/06/12 21:28:39 INFO mapred.JobClient:  map 41% reduce 0%
14/06/12 21:28:42 INFO mapred.JobClient:  map 42% reduce 0%
14/06/12 21:28:45 INFO mapred.JobClient:  map 43% reduce 0%
14/06/12 21:28:48 INFO mapred.JobClient:  map 44% reduce 0%
14/06/12 21:28:50 INFO mapred.JobClient:  map 45% reduce 0%
14/06/12 21:28:52 INFO mapred.JobClient:  map 46% reduce 0%
14/06/12 21:28:54 INFO mapred.JobClient:  map 47% reduce 0%
14/06/12 21:28:55 INFO mapred.JobClient:  map 48% reduce 0%
14/06/12 21:28:58 INFO mapred.JobClient:  map 49% reduce 0%
14/06/12 21:29:00 INFO mapred.JobClient:  map 50% reduce 0%
14/06/12 21:29:03 INFO mapred.JobClient:  map 51% reduce 0%
14/06/12 21:29:06 INFO mapred.JobClient:  map 52% reduce 0%
14/06/12 21:29:09 INFO mapred.JobClient:  map 53% reduce 0%
14/06/12 21:29:12 INFO mapred.JobClient:  map 54% reduce 0%
14/06/12 21:29:15 INFO mapred.JobClient:  map 55% reduce 0%
14/06/12 21:29:18 INFO mapred.JobClient:  map 56% reduce 0%
14/06/12 21:29:21 INFO mapred.JobClient:  map 57% reduce 0%
14/06/12 21:29:23 INFO mapred.JobClient:  map 58% reduce 0%
14/06/12 21:29:27 INFO mapred.JobClient:  map 59% reduce 0%
14/06/12 21:29:29 INFO mapred.JobClient:  map 60% reduce 0%
14/06/12 21:29:32 INFO mapred.JobClient:  map 61% reduce 0%
14/06/12 21:29:35 INFO mapred.JobClient:  map 62% reduce 0%
14/06/12 21:29:37 INFO mapred.JobClient:  map 63% reduce 0%
14/06/12 21:29:38 INFO mapred.JobClient:  map 64% reduce 0%
14/06/12 21:29:41 INFO mapred.JobClient:  map 65% reduce 0%
14/06/12 21:29:45 INFO mapred.JobClient:  map 66% reduce 0%
14/06/12 21:29:48 INFO mapred.JobClient:  map 67% reduce 0%
14/06/12 21:29:52 INFO mapred.JobClient:  map 68% reduce 0%
14/06/12 21:29:53 INFO mapred.JobClient:  map 69% reduce 0%
14/06/12 21:29:56 INFO mapred.JobClient:  map 70% reduce 0%
14/06/12 21:29:57 INFO mapred.JobClient:  map 71% reduce 0%
14/06/12 21:30:01 INFO mapred.JobClient:  map 72% reduce 0%
14/06/12 21:30:04 INFO mapred.JobClient:  map 73% reduce 0%
14/06/12 21:30:09 INFO mapred.JobClient:  map 74% reduce 0%
14/06/12 21:30:13 INFO mapred.JobClient:  map 75% reduce 0%
14/06/12 21:30:17 INFO mapred.JobClient:  map 76% reduce 0%
14/06/12 21:30:21 INFO mapred.JobClient:  map 77% reduce 0%
14/06/12 21:30:24 INFO mapred.JobClient:  map 78% reduce 0%
14/06/12 21:30:27 INFO mapred.JobClient:  map 79% reduce 0%
14/06/12 21:30:31 INFO mapred.JobClient:  map 80% reduce 0%
14/06/12 21:30:35 INFO mapred.JobClient:  map 81% reduce 0%
14/06/12 21:30:39 INFO mapred.JobClient:  map 82% reduce 0%
14/06/12 21:30:43 INFO mapred.JobClient:  map 83% reduce 0%
14/06/12 21:30:48 INFO mapred.JobClient:  map 84% reduce 0%
14/06/12 21:30:52 INFO mapred.JobClient:  map 85% reduce 0%
14/06/12 21:30:54 INFO mapred.JobClient:  map 86% reduce 0%
14/06/12 21:30:57 INFO mapred.JobClient:  map 87% reduce 0%
14/06/12 21:31:04 INFO mapred.JobClient:  map 88% reduce 0%
14/06/12 21:31:10 INFO mapred.JobClient:  map 89% reduce 0%
14/06/12 21:31:15 INFO mapred.JobClient:  map 90% reduce 0%
14/06/12 21:31:21 INFO mapred.JobClient:  map 91% reduce 0%
14/06/12 21:31:27 INFO mapred.JobClient:  map 92% reduce 0%
14/06/12 21:31:29 INFO mapred.JobClient:  map 93% reduce 0%
14/06/12 21:31:36 INFO mapred.JobClient:  map 94% reduce 0%
14/06/12 21:31:40 INFO mapred.JobClient:  map 95% reduce 0%
14/06/12 21:31:43 INFO mapred.JobClient:  map 96% reduce 0%
14/06/12 21:31:52 INFO mapred.JobClient:  map 97% reduce 0%
14/06/12 21:32:04 INFO mapred.JobClient:  map 98% reduce 0%
14/06/12 21:32:19 INFO mapred.JobClient:  map 99% reduce 0%
14/06/12 21:32:40 INFO mapred.JobClient:  map 100% reduce 0%
14/06/12 21:32:42 INFO mapred.JobClient: Job complete: job_201406111226_0017
14/06/12 21:32:43 INFO mapred.JobClient: Counters: 19
14/06/12 21:32:43 INFO mapred.JobClient:   Job Counters 
14/06/12 21:32:43 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=4801313
14/06/12 21:32:43 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/06/12 21:32:43 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/06/12 21:32:43 INFO mapred.JobClient:     Launched map tasks=25
14/06/12 21:32:43 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=0
14/06/12 21:32:43 INFO mapred.JobClient:   File Input Format Counters 
14/06/12 21:32:43 INFO mapred.JobClient:     Bytes Read=0
14/06/12 21:32:43 INFO mapred.JobClient:   File Output Format Counters 
14/06/12 21:32:43 INFO mapred.JobClient:     Bytes Written=10000000000
14/06/12 21:32:43 INFO mapred.JobClient:   FileSystemCounters
14/06/12 21:32:43 INFO mapred.JobClient:     HDFS_BYTES_READ=1713
14/06/12 21:32:43 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=1112210
14/06/12 21:32:43 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=10000000000
14/06/12 21:32:43 INFO mapred.JobClient:   Map-Reduce Framework
14/06/12 21:32:43 INFO mapred.JobClient:     Map input records=100000000
14/06/12 21:32:43 INFO mapred.JobClient:     Physical memory (bytes) snapshot=1703616512
14/06/12 21:32:43 INFO mapred.JobClient:     Spilled Records=0
