Generating 500000000 using 100 maps with step of 5000000
14/06/12 23:49:25 INFO mapred.JobClient: Running job: job_201406122141_0003
14/06/12 23:49:26 INFO mapred.JobClient:  map 0% reduce 0%
14/06/12 23:49:40 INFO mapred.JobClient:  map 1% reduce 0%
14/06/12 23:49:41 INFO mapred.JobClient:  map 2% reduce 0%
14/06/12 23:49:43 INFO mapred.JobClient:  map 3% reduce 0%
14/06/12 23:49:44 INFO mapred.JobClient:  map 4% reduce 0%
14/06/12 23:49:49 INFO mapred.JobClient:  map 5% reduce 0%
14/06/12 23:49:52 INFO mapred.JobClient:  map 6% reduce 0%
14/06/12 23:50:00 INFO mapred.JobClient:  map 7% reduce 0%
14/06/12 23:50:09 INFO mapred.JobClient:  map 8% reduce 0%
14/06/12 23:50:18 INFO mapred.JobClient:  map 9% reduce 0%
14/06/12 23:50:27 INFO mapred.JobClient:  map 10% reduce 0%
14/06/12 23:50:36 INFO mapred.JobClient:  map 11% reduce 0%
14/06/12 23:50:44 INFO mapred.JobClient:  map 12% reduce 0%
14/06/12 23:50:51 INFO mapred.JobClient:  map 13% reduce 0%
14/06/12 23:50:59 INFO mapred.JobClient:  map 14% reduce 0%
14/06/12 23:51:03 INFO mapred.JobClient:  map 15% reduce 0%
14/06/12 23:51:14 INFO mapred.JobClient:  map 16% reduce 0%
14/06/12 23:51:19 INFO mapred.JobClient:  map 17% reduce 0%
14/06/12 23:51:29 INFO mapred.JobClient:  map 18% reduce 0%
14/06/12 23:51:39 INFO mapred.JobClient:  map 19% reduce 0%
14/06/12 23:51:47 INFO mapred.JobClient:  map 20% reduce 0%
14/06/12 23:51:55 INFO mapred.JobClient:  map 21% reduce 0%
14/06/12 23:52:01 INFO mapred.JobClient:  map 22% reduce 0%
14/06/12 23:52:09 INFO mapred.JobClient:  map 23% reduce 0%
14/06/12 23:52:17 INFO mapred.JobClient:  map 24% reduce 0%
14/06/12 23:52:28 INFO mapred.JobClient:  map 25% reduce 0%
14/06/12 23:52:36 INFO mapred.JobClient:  map 26% reduce 0%
14/06/12 23:52:46 INFO mapred.JobClient:  map 27% reduce 0%
14/06/12 23:52:54 INFO mapred.JobClient:  map 28% reduce 0%
14/06/12 23:53:03 INFO mapred.JobClient:  map 29% reduce 0%
14/06/12 23:53:09 INFO mapred.JobClient:  map 30% reduce 0%
14/06/12 23:53:20 INFO mapred.JobClient:  map 31% reduce 0%
14/06/12 23:53:30 INFO mapred.JobClient:  map 32% reduce 0%
14/06/12 23:53:41 INFO mapred.JobClient:  map 33% reduce 0%
14/06/12 23:53:48 INFO mapred.JobClient:  map 34% reduce 0%
14/06/12 23:53:54 INFO mapred.JobClient:  map 35% reduce 0%
14/06/12 23:54:03 INFO mapred.JobClient:  map 36% reduce 0%
14/06/12 23:54:13 INFO mapred.JobClient:  map 37% reduce 0%
14/06/12 23:54:22 INFO mapred.JobClient:  map 38% reduce 0%
14/06/12 23:54:28 INFO mapred.JobClient:  map 39% reduce 0%
14/06/12 23:54:39 INFO mapred.JobClient:  map 40% reduce 0%
14/06/12 23:54:45 INFO mapred.JobClient:  map 41% reduce 0%
14/06/12 23:54:51 INFO mapred.JobClient:  map 42% reduce 0%
14/06/12 23:55:00 INFO mapred.JobClient:  map 43% reduce 0%
14/06/12 23:55:06 INFO mapred.JobClient:  map 44% reduce 0%
14/06/12 23:55:12 INFO mapred.JobClient:  map 45% reduce 0%
14/06/12 23:55:16 INFO mapred.JobClient:  map 46% reduce 0%
14/06/12 23:55:19 INFO mapred.JobClient:  map 47% reduce 0%
14/06/12 23:55:27 INFO mapred.JobClient:  map 48% reduce 0%
14/06/12 23:55:34 INFO mapred.JobClient:  map 49% reduce 0%
14/06/12 23:55:44 INFO mapred.JobClient:  map 50% reduce 0%
14/06/12 23:55:51 INFO mapred.JobClient:  map 51% reduce 0%
14/06/12 23:55:59 INFO mapred.JobClient:  map 52% reduce 0%
14/06/12 23:56:08 INFO mapred.JobClient:  map 53% reduce 0%
14/06/12 23:56:19 INFO mapred.JobClient:  map 54% reduce 0%
14/06/12 23:56:28 INFO mapred.JobClient:  map 55% reduce 0%
14/06/12 23:56:40 INFO mapred.JobClient:  map 56% reduce 0%
14/06/12 23:56:51 INFO mapred.JobClient:  map 57% reduce 0%
14/06/12 23:57:01 INFO mapred.JobClient:  map 58% reduce 0%
14/06/12 23:57:11 INFO mapred.JobClient:  map 59% reduce 0%
14/06/12 23:57:17 INFO mapred.JobClient:  map 60% reduce 0%
14/06/12 23:57:26 INFO mapred.JobClient:  map 61% reduce 0%
14/06/12 23:57:35 INFO mapred.JobClient:  map 62% reduce 0%
14/06/12 23:57:42 INFO mapred.JobClient:  map 63% reduce 0%
14/06/12 23:57:51 INFO mapred.JobClient:  map 64% reduce 0%
14/06/12 23:58:01 INFO mapred.JobClient:  map 65% reduce 0%
14/06/12 23:58:11 INFO mapred.JobClient:  map 66% reduce 0%
14/06/12 23:58:19 INFO mapred.JobClient:  map 67% reduce 0%
14/06/12 23:58:26 INFO mapred.JobClient:  map 68% reduce 0%
14/06/12 23:58:33 INFO mapred.JobClient:  map 69% reduce 0%
14/06/12 23:58:41 INFO mapred.JobClient:  map 70% reduce 0%
14/06/12 23:58:49 INFO mapred.JobClient:  map 71% reduce 0%
14/06/12 23:58:57 INFO mapred.JobClient:  map 72% reduce 0%
14/06/12 23:59:04 INFO mapred.JobClient:  map 73% reduce 0%
14/06/12 23:59:09 INFO mapred.JobClient:  map 74% reduce 0%
14/06/12 23:59:15 INFO mapred.JobClient:  map 75% reduce 0%
14/06/12 23:59:23 INFO mapred.JobClient:  map 76% reduce 0%
14/06/12 23:59:32 INFO mapred.JobClient:  map 77% reduce 0%
14/06/12 23:59:42 INFO mapred.JobClient:  map 78% reduce 0%
14/06/12 23:59:51 INFO mapred.JobClient:  map 79% reduce 0%
14/06/13 00:00:00 INFO mapred.JobClient:  map 80% reduce 0%
14/06/13 00:00:09 INFO mapred.JobClient:  map 81% reduce 0%
14/06/13 00:00:18 INFO mapred.JobClient:  map 82% reduce 0%
14/06/13 00:00:27 INFO mapred.JobClient:  map 83% reduce 0%
14/06/13 00:00:37 INFO mapred.JobClient:  map 84% reduce 0%
14/06/13 00:00:48 INFO mapred.JobClient:  map 85% reduce 0%
14/06/13 00:01:01 INFO mapred.JobClient:  map 86% reduce 0%
14/06/13 00:01:13 INFO mapred.JobClient:  map 87% reduce 0%
14/06/13 00:01:25 INFO mapred.JobClient:  map 88% reduce 0%
14/06/13 00:01:36 INFO mapred.JobClient:  map 89% reduce 0%
14/06/13 00:01:49 INFO mapred.JobClient:  map 90% reduce 0%
14/06/13 00:01:59 INFO mapred.JobClient:  map 91% reduce 0%
14/06/13 00:02:09 INFO mapred.JobClient:  map 92% reduce 0%
14/06/13 00:02:25 INFO mapred.JobClient:  map 93% reduce 0%
14/06/13 00:02:39 INFO mapred.JobClient:  map 94% reduce 0%
14/06/13 00:02:55 INFO mapred.JobClient:  map 95% reduce 0%
14/06/13 00:03:13 INFO mapred.JobClient:  map 96% reduce 0%
14/06/13 00:03:41 INFO mapred.JobClient:  map 97% reduce 0%
14/06/13 00:04:19 INFO mapred.JobClient:  map 98% reduce 0%
14/06/13 00:04:50 INFO mapred.JobClient:  map 99% reduce 0%
14/06/13 00:06:23 INFO mapred.JobClient:  map 100% reduce 0%
14/06/13 00:06:26 INFO mapred.JobClient: Job complete: job_201406122141_0003
14/06/13 00:06:26 INFO mapred.JobClient: Counters: 19
14/06/13 00:06:26 INFO mapred.JobClient:   Job Counters 
14/06/13 00:06:26 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=32227935
14/06/13 00:06:26 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/06/13 00:06:26 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/06/13 00:06:26 INFO mapred.JobClient:     Launched map tasks=118
14/06/13 00:06:26 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=0
14/06/13 00:06:26 INFO mapred.JobClient:   File Input Format Counters 
14/06/13 00:06:26 INFO mapred.JobClient:     Bytes Read=0
14/06/13 00:06:26 INFO mapred.JobClient:   File Output Format Counters 
14/06/13 00:06:26 INFO mapred.JobClient:     Bytes Written=50000000000
14/06/13 00:06:26 INFO mapred.JobClient:   FileSystemCounters
14/06/13 00:06:26 INFO mapred.JobClient:     HDFS_BYTES_READ=8593
14/06/13 00:06:26 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=5583190
14/06/13 00:06:26 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=50000000000
14/06/13 00:06:26 INFO mapred.JobClient:   Map-Reduce Framework
14/06/13 00:06:26 INFO mapred.JobClient:     Map input records=500000000
14/06/13 00:06:26 INFO mapred.JobClient:     Physical memory (bytes) snapshot=8480858112
14/06/13 00:06:26 INFO mapred.JobClient:     Spilled Records=0
14/06/13 00:06:26 INFO mapred.JobClient:     CPU time spent (ms)=1064130
14/06/13 00:06:26 INFO mapred.JobClient:     Total committed heap usage (bytes)=2439319552
14/06/13 00:06:26 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=72634552320
14/06/13 00:06:26 INFO mapred.JobClient:     Map input bytes=500000000
14/06/13 00:06:26 INFO mapred.JobClient:     Map output records=500000000
14/06/13 00:06:26 INFO mapred.JobClient:     SPLIT_RAW_BYTES=8593

real	17m7.123s
user	0m4.274s
sys	0m0.581s
