14/06/13 04:03:01 INFO terasort.TeraSort: starting
14/06/13 04:03:02 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/13 04:03:06 WARN snappy.LoadSnappy: Snappy native library is available
14/06/13 04:03:06 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/13 04:03:06 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/13 04:03:10 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/13 04:03:10 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/13 04:03:12 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/13 04:03:21 INFO mapred.JobClient: Running job: job_201406122141_0008
14/06/13 04:03:22 INFO mapred.JobClient:  map 0% reduce 0%
14/06/13 04:03:45 INFO mapred.JobClient:  map 1% reduce 0%
14/06/13 04:04:00 INFO mapred.JobClient:  map 2% reduce 0%
14/06/13 04:04:16 INFO mapred.JobClient:  map 3% reduce 0%
14/06/13 04:04:29 INFO mapred.JobClient:  map 4% reduce 0%
14/06/13 04:04:42 INFO mapred.JobClient:  map 5% reduce 0%
14/06/13 04:04:56 INFO mapred.JobClient:  map 6% reduce 0%
14/06/13 04:05:13 INFO mapred.JobClient:  map 7% reduce 0%
14/06/13 04:05:34 INFO mapred.JobClient:  map 8% reduce 0%
14/06/13 04:05:59 INFO mapred.JobClient:  map 9% reduce 0%
14/06/13 04:06:31 INFO mapred.JobClient:  map 10% reduce 0%
14/06/13 04:06:32 INFO mapred.JobClient:  map 10% reduce 1%
14/06/13 04:06:53 INFO mapred.JobClient:  map 11% reduce 1%
14/06/13 04:07:09 INFO mapred.JobClient:  map 12% reduce 1%
14/06/13 04:07:30 INFO mapred.JobClient:  map 13% reduce 1%
14/06/13 04:07:47 INFO mapred.JobClient:  map 14% reduce 1%
14/06/13 04:08:03 INFO mapred.JobClient:  map 15% reduce 1%
14/06/13 04:08:18 INFO mapred.JobClient:  map 16% reduce 1%
14/06/13 04:08:22 INFO mapred.JobClient:  map 16% reduce 2%
14/06/13 04:08:39 INFO mapred.JobClient:  map 17% reduce 2%
14/06/13 04:08:56 INFO mapred.JobClient:  map 18% reduce 2%
14/06/13 04:09:12 INFO mapred.JobClient:  map 19% reduce 2%
14/06/13 04:09:29 INFO mapred.JobClient:  map 20% reduce 2%
14/06/13 04:09:45 INFO mapred.JobClient:  map 21% reduce 2%
14/06/13 04:10:02 INFO mapred.JobClient:  map 22% reduce 2%
14/06/13 04:10:21 INFO mapred.JobClient:  map 23% reduce 2%
14/06/13 04:10:31 INFO mapred.JobClient:  map 23% reduce 3%
14/06/13 04:10:36 INFO mapred.JobClient:  map 24% reduce 3%
14/06/13 04:10:53 INFO mapred.JobClient:  map 25% reduce 3%
14/06/13 04:11:09 INFO mapred.JobClient:  map 26% reduce 3%
14/06/13 04:11:29 INFO mapred.JobClient:  map 27% reduce 3%
14/06/13 04:11:45 INFO mapred.JobClient:  map 28% reduce 3%
14/06/13 04:12:02 INFO mapred.JobClient:  map 29% reduce 3%
14/06/13 04:12:18 INFO mapred.JobClient:  map 30% reduce 3%
14/06/13 04:12:37 INFO mapred.JobClient:  map 31% reduce 3%
14/06/13 04:12:39 INFO mapred.JobClient:  map 31% reduce 4%
14/06/13 04:12:53 INFO mapred.JobClient:  map 32% reduce 4%
14/06/13 04:13:10 INFO mapred.JobClient:  map 33% reduce 4%
14/06/13 04:13:27 INFO mapred.JobClient:  map 34% reduce 4%
14/06/13 04:13:43 INFO mapred.JobClient:  map 35% reduce 4%
14/06/13 04:14:01 INFO mapred.JobClient:  map 36% reduce 4%
14/06/13 04:14:17 INFO mapred.JobClient:  map 37% reduce 4%
14/06/13 04:14:35 INFO mapred.JobClient:  map 38% reduce 4%
14/06/13 04:14:47 INFO mapred.JobClient:  map 38% reduce 5%
14/06/13 04:14:51 INFO mapred.JobClient:  map 39% reduce 5%
14/06/13 04:15:09 INFO mapred.JobClient:  map 40% reduce 5%
14/06/13 04:15:28 INFO mapred.JobClient:  map 41% reduce 5%
14/06/13 04:15:43 INFO mapred.JobClient:  map 42% reduce 5%
14/06/13 04:15:59 INFO mapred.JobClient:  map 43% reduce 5%
14/06/13 04:16:18 INFO mapred.JobClient:  map 44% reduce 5%
14/06/13 04:16:35 INFO mapred.JobClient:  map 45% reduce 5%
14/06/13 04:16:53 INFO mapred.JobClient:  map 46% reduce 5%
14/06/13 04:16:56 INFO mapred.JobClient:  map 46% reduce 6%
14/06/13 04:17:11 INFO mapred.JobClient:  map 47% reduce 6%
14/06/13 04:17:29 INFO mapred.JobClient:  map 48% reduce 6%
14/06/13 04:17:47 INFO mapred.JobClient:  map 49% reduce 6%
14/06/13 04:18:03 INFO mapred.JobClient:  map 50% reduce 6%
14/06/13 04:18:23 INFO mapred.JobClient:  map 51% reduce 6%
14/06/13 04:18:40 INFO mapred.JobClient:  map 52% reduce 6%
14/06/13 04:18:56 INFO mapred.JobClient:  map 53% reduce 6%
14/06/13 04:19:06 INFO mapred.JobClient:  map 53% reduce 7%
14/06/13 04:19:14 INFO mapred.JobClient:  map 54% reduce 7%
14/06/13 04:19:30 INFO mapred.JobClient:  map 55% reduce 7%
14/06/13 04:19:49 INFO mapred.JobClient:  map 56% reduce 7%
14/06/13 04:20:07 INFO mapred.JobClient:  map 57% reduce 7%
14/06/13 04:20:30 INFO mapred.JobClient:  map 58% reduce 7%
14/06/13 04:20:58 INFO mapred.JobClient:  map 59% reduce 7%
14/06/13 04:21:31 INFO mapred.JobClient:  map 60% reduce 7%
14/06/13 04:22:15 INFO mapred.JobClient:  map 61% reduce 7%
14/06/13 04:22:17 INFO mapred.JobClient:  map 61% reduce 8%
14/06/13 04:22:51 INFO mapred.JobClient:  map 62% reduce 8%
14/06/13 04:23:14 INFO mapred.JobClient:  map 63% reduce 8%
14/06/13 04:23:40 INFO mapred.JobClient:  map 64% reduce 8%
14/06/13 04:24:04 INFO mapred.JobClient:  map 65% reduce 8%
14/06/13 04:24:27 INFO mapred.JobClient:  map 66% reduce 8%
14/06/13 04:24:47 INFO mapred.JobClient:  map 67% reduce 8%
14/06/13 04:25:08 INFO mapred.JobClient:  map 68% reduce 8%
14/06/13 04:25:24 INFO mapred.JobClient:  map 68% reduce 9%
14/06/13 04:25:28 INFO mapred.JobClient:  map 69% reduce 9%
